IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,33.3,,,,,,33.3,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2016,true,Sex,Male,MLE,,,,,,,,,,34,,,,,,34,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2016,true,Sex,Male,MLE,,,,,,,,,,34.7,,,,,,34.7,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2016,true,Sex,Male,MLE,,,,,,,,,,34.9,,,,,,34.9,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,GMB,Gambia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,35.1,,,,,,35.1,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2016,true,Sex,Male,MLE,,,,,,,,,,35.4,,,,,,35.4,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2016,true,Sex,Male,MLE,,,,,,,,,,35.8,,,,,,35.8,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,36.4,,,,,,36.4,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2016,true,Sex,Male,MLE,,,,,,,,,,36.6,,,,,,36.6,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2016,true,Sex,Male,MLE,,,,,,,,,,36.6,,,,,,36.6,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AMR,Americas,Country,GUY,Guyana,Year,2016,true,Sex,Male,MLE,,,,,,,,,,36.8,,,,,,36.8,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,COM,Comoros,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,36.9,,,,,,36.9,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,BWA,Botswana,Year,2016,true,Sex,Male,MLE,,,,,,,,,,37,,,,,,37,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2016,true,Sex,Male,MLE,,,,,,,,,,37.9,,,,,,37.9,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2016,true,Sex,Male,MLE,,,,,,,,,,38.1,,,,,,38.1,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,true,Sex,Male,MLE,,,,,,,,,,38.3,,,,,,38.3,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2016,true,Sex,Male,MLE,,,,,,,,,,38.3,,,,,,38.3,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2016,true,Sex,Male,MLE,,,,,,,,,,39.1,,,,,,39.1,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,TGO,Togo,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,39.1,,,,,,39.1,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,GAB,Gabon,Year,2016,true,Sex,Male,MLE,,,,,,,,,,39.2,,,,,,39.2,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,4,,,,,,4,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,SYC,Seychelles,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,4,,,,,,4,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AMR,Americas,Country,CAN,Canada,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,4.1,,,,,,4.1,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,POL,Poland,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,4.1,,,,,,4.1,,,EN,2018-09-06T04:00:00.000Z
